Global Evidence:    0.600282419252134005E+02  +/-    0.271512078617343282E-07

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Evidence    0.600282419252134005E+02 +/-    0.271512078617343282E-07
Local Evidence    0.600282419252134005E+02 +/-    0.271512078617343282E-07

Dim No.       Mean        Sigma
   1    0.958953021753691884E-04    0.306811267245084296E-10
   2    0.198877300650692249E-03                         NaN
   3    0.211273757186063875E+03                         NaN
   4    0.844559309321882665E+03                         NaN
   5    0.456757791792612000E+00                         NaN
   6    0.125865241868514860E+00                         NaN
   7    0.248154120187910991E+03                         NaN
   8    0.285355133809311667E+03    0.332557597621206205E-04
   9    0.825936171234719296E+02    0.226284227708905656E-04
  10    0.452013877127511634E+02                         NaN
  11    0.160885667995773986E+03                         NaN
  12    0.505783310174925949E+00                         NaN

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.958953021753704895E-04
   2    0.198877300650670050E-03
   3    0.211273757186053103E+03
   4    0.844559309321779210E+03
   5    0.456757791792550827E+00
   6    0.125865241868495625E+00
   7    0.248154120187905448E+03
   8    0.285355133809305130E+03
   9    0.825936171234697269E+02
  10    0.452013877127473123E+02
  11    0.160885667995746587E+03
  12    0.505783310174908851E+00

MAP Parameters
Dim No.        Parameter
   1    0.958953021753704895E-04
   2    0.198877300650670050E-03
   3    0.211273757186053103E+03
   4    0.844559309321779210E+03
   5    0.456757791792550827E+00
   6    0.125865241868495625E+00
   7    0.248154120187905448E+03
   8    0.285355133809305130E+03
   9    0.825936171234697269E+02
  10    0.452013877127473123E+02
  11    0.160885667995746587E+03
  12    0.505783310174908851E+00
