,time,mask,method marginalized,local SAP,local PDCSAP,polyAM SAP,polyAM PDCSAP,GP SAP,GP PDCSAP,CoFiAM SAP,CoFiAM PDCSAP
0,274.8343168011925,False,3.81230787344089e-05,3.703830446433187e-05,0.0001720885091773816,0.0001978768213333204,0.00018745521064822412,1.6695697691915257e-05,3.54283382948406e-05,1.6215555417753436e-05,3.9207853004485926e-05
1,274.85474959781277,False,2.0390548381987728e-06,1.2713836274658163e-05,9.108840713767385e-05,0.00016970775187274967,0.00010611532081616915,-8.635726598260618e-06,-3.938325025121259e-05,-9.258375007648034e-06,-3.553371685316442e-05
2,274.87518219442427,False,-2.4517661359191312e-05,-1.3438364194096053e-05,4.905457017101433e-05,0.00013973873655448443,6.374407044518193e-05,-3.559695852428657e-05,-7.526365266918855e-05,-3.645193035006766e-05,-7.09905563270885e-05
3,274.895614890811,False,7.717990888722603e-06,1.9098569448816605e-05,8.006785807790351e-05,0.00016849566146470707,9.442277469084992e-05,-3.662587671371398e-06,-3.8313057949657114e-05,-4.851084182577736e-06,-3.3111871871494e-05
4,274.91604768695834,False,0.00012202418409146265,0.00013359550739311388,0.00016553894649318224,0.0002792521389154423,0.0001795617860369525,0.00011045286078981142,5.303629824093825e-05,0.00010881284462715968,5.948663359367501e-05
5,274.9364802828786,False,6.070218572717945e-05,6.297487042039585e-05,0.00015710921516687293,0.00020489184632066504,0.0001708004149336695,3.969047446283902e-05,5.0753067845299427e-05,3.746738582810494e-05,5.842950103396305e-05
6,274.9773456744879,False,-7.543460018610837e-05,-9.178613738503039e-05,1.2744387214214115e-05,4.2734984727177405e-05,2.5776030847746156e-05,-0.0001146816865450484,-8.025071874784295e-05,-0.00011843836937919239,-7.061848162437379e-05
7,274.997778369936,False,0.0001550392053035754,0.00016624064253489834,0.00020450996372978203,0.0002971504900346478,0.00021721796067186716,0.00014383776807225246,0.00011856399850107557,0.00013915568041245052,0.0001289874815659786
8,275.0386437606139,False,-8.307379786992586e-05,-7.211830049791423e-05,-7.319986198206507e-05,5.1553992191921694e-05,-6.114203702656251e-05,-9.294773375778664e-05,-0.00014402615089526005,-9.976047650772646e-05,-0.0001327926898896381
9,275.05907655559713,False,-7.35560956819925e-05,-7.045745999889608e-05,-2.5026805872685465e-05,4.965381042776329e-05,-1.3288984067272303e-05,-9.025919196525845e-05,-8.817759686097215e-05,-9.824158691829066e-05,-7.665473136508894e-05
10,275.07950915035326,False,0.00031701932515137976,0.00032791861069569883,0.0003247513585908912,0.0004445431380672993,0.00033617444457512136,0.0003092872917118683,0.0002697224348913174,0.0003000719940036145,0.0002810247293763002
11,275.09994184511015,False,-3.216709436315579e-05,-3.219506462459609e-05,3.7532844707754975e-06,8.08821599991294e-05,1.4855825655857302e-05,-4.949177834878693e-05,-4.201010329318855e-05,-5.9994729254220225e-05,-3.213912410171549e-05
12,275.1203746396277,False,4.417828295499859e-05,5.0108226448575266e-05,6.646461102843837e-05,0.00015971717551388487,7.725282028636649e-05,3.424636499227418e-05,3.0895828609045495e-05,2.2429294582515524e-05,3.824833946142192e-05
13,275.14080723391817,False,3.283530029318804e-06,-2.4874546509678908e-05,2.597942094606509e-05,8.127695235105037e-05,3.645406417929209e-05,-3.923855605325599e-05,1.3124385951357453e-06,-5.234462438319376e-05,5.254621463501863e-06
14,275.1612399282094,False,4.39367156853665e-05,2.3125222438968862e-05,5.735053187394534e-05,0.00012586047639184805,6.751425686712942e-05,1.026766794653966e-05,4.3990046353803436e-05,-4.057991115136161e-06,4.3883385016929566e-05
15,275.18167252225976,False,8.292982783875136e-05,4.4706962305518516e-05,8.71725492481712e-05,0.00014405112733739678,9.70272273028705e-05,3.332023121660477e-05,8.517193390567002e-05,1.7890303426026932e-05,8.06877217718327e-05
16,275.2021053160861,False,-0.00010956704056436228,-0.00013070046814633862,-0.00010965719105260341,-3.473836859635426e-05,-0.00010011182976954469,-0.00014069879968559018,-0.00010082717065207358,-0.00015706890192779266,-0.00010947689007612116
17,275.22253800991166,False,2.177403627479091e-05,2.0372044982730486e-05,1.668846593938511e-05,0.00011301163575438977,2.592954464653019e-05,1.1625196696174456e-05,3.498105501331672e-05,-5.482890610863933e-06,2.317602756685133e-05
18,275.2429707032643,False,-0.00018925664153734978,-0.00018687881157120056,-0.00019992310320138262,-9.756660073378942e-05,-0.00019098751259327695,-0.0001945350672880597,-0.0001741716866761056,-0.0002121397424492688,-0.0001875257704814226
19,275.2634033966242,False,-6.279133650699542e-05,-3.1485452229085276e-05,-0.00010015116825778936,5.456010174764714e-05,-9.151625561665266e-05,-3.8238152421099514e-05,-6.948972442510915e-05,-5.60929485888817e-05,-8.227003949512479e-05
20,275.2838360899841,False,-6.204939337922655e-05,-4.051373535929326e-05,-9.273225022965459e-05,4.227870699824443e-05,-8.439688766803677e-05,-4.653655370123744e-05,-5.9701047368299065e-05,-6.439773939015403e-05,-6.98287921347962e-05
21,275.3042687831039,False,1.811925790085045e-05,6.300320390462133e-05,-3.693212277466884e-05,0.00014257973918474498,-2.889395736538347e-05,5.755812068097832e-05,-3.6647280647894576e-06,3.9903243866490357e-05,-9.492874318728362e-06
22,275.3247013759974,False,8.346299253980671e-05,8.702414839145689e-05,5.342612442582606e-05,0.0001634062666662217,6.116930785737829e-05,8.203476920143338e-05,8.541791328897652e-05,6.477054615294797e-05,8.489121587818005e-05
