,time,yerr,mask,method marginalized,local SAP,local PDCSAP,polyAM SAP,polyAM PDCSAP,GP SAP,GP PDCSAP,CoFiAM SAP,CoFiAM PDCSAP
0,274.8343168011925,9.85165614372632e-05,False,3.764040097731236e-05,3.8446447410578344e-05,2.9840248650492285e-05,9.985651158039843e-05,0.00018403768963315414,2.126616696584982e-05,3.683435454404638e-05,2.48573519583406e-05,9.891425163210954e-05
1,274.85474959781277,0.00010527495737627398,False,4.172747074704386e-06,1.0196938455608873e-05,-4.16130414908622e-05,7.322368772899601e-05,0.00010270789847899309,-3.930511446426088e-06,-3.865684467441177e-05,-1.8514443062001007e-06,1.9278890760254797e-05
2,274.87518219442427,0.00010434702555751683,False,-2.582794943067901e-05,-1.9636065123229685e-05,-7.44279492611577e-05,4.4740112952190714e-05,6.035174121854503e-05,-3.0862713096935224e-05,-7.492283993371096e-05,-3.0328681242530742e-05,-2.1327217618827277e-05
3,274.895614890811,0.0001019132588851365,False,5.261662674671541e-06,9.501073882978162e-06,-3.451712280566621e-05,7.496237065773848e-05,9.105366370421031e-05,1.0222514663649207e-06,-3.797314516595929e-05,-2.0625571695020994e-08,1.1175057835544067e-05
4,274.91604768695834,0.00010914944428345178,False,0.00011374455836388186,0.0001209439356086861,5.9538079105525554e-05,0.00018723589161662169,0.00017622234092362632,0.00011507085919748583,5.36528898265054e-05,0.0001124182575302779,9.819338095784502e-05
5,274.9364802828786,9.81904669148305e-05,False,5.55501038043138e-05,4.7545849396923856e-05,5.938650278758395e-05,0.00011442801708994033,0.00016748334011795762,4.417060314154675e-05,5.171370482104365e-05,3.9876856772202984e-05,9.136215995786401e-05
6,274.9773456744879,0.00010788373705397419,False,-7.396533558923224e-05,-0.00011195890412696308,-6.932361129574627e-05,-4.460395742456047e-05,2.2495994707050215e-05,-0.00011071712992039018,-7.860705988271821e-05,-0.00011835354818889865,-4.965997758588081e-05
7,274.997778369936,9.725049166324186e-05,False,0.00014393948542568147,0.00014402406999147743,0.00012983472013972097,0.0002113201492979222,0.0002139826799920641,0.00014740170393445773,0.00012062672297941113,0.00013808277952787051,0.0001438549008598855
8,275.0386437606139,0.00010702778960461878,False,-0.00010034188342533668,-9.76611504009961e-05,-0.0001339527483005254,-3.1142702118791554e-05,-6.434476612771078e-05,-9.037167711412053e-05,-0.00014129341420676678,-0.00010302261644967725,-0.00013025547608591648
9,275.05907655559713,9.72799300190959e-05,False,-8.26030056818583e-05,-9.733082283625016e-05,-7.922669701720952e-05,-3.146148106736302e-05,-1.6456331509040467e-05,-8.825275752011308e-05,-8.498628310182887e-05,-0.00010253117270164758,-8.021972826188772e-05
10,275.07950915035326,0.00010166281054336234,False,0.00029735796290797367,0.00029992481492313594,0.0002768512526598599,0.0003649842362536404,0.0003330714668594581,0.00031066487576469903,0.0002732102938369785,0.0002947911108928114,0.0002714675864161631
11,275.09994184511015,9.764967154768865e-05,False,-4.326169406926317e-05,-6.106423082608003e-05,-3.814108035871122e-05,2.9713121052488134e-06,1.1756692336328811e-05,-4.878408680897284e-05,-3.890478146850729e-05,-6.619727219292493e-05,-4.761860667001905e-05
12,275.1203746396277,9.800516125197085e-05,False,3.171037807303545e-05,2.050986618540307e-05,3.0337752242148852e-05,8.339300112347736e-05,7.419411277242993e-05,3.4207930520446794e-05,3.308300390392205e-05,1.5312749977125506e-05,1.7048866189250944e-05
13,275.14080723391817,0.0001021226687902349,False,-1.3048771117019076e-05,-5.49944824277393e-05,-4.637747330393793e-06,6.584018141575498e-06,3.342741494982704e-05,-4.001581854184977e-05,2.0768250412750433e-06,-6.0302553832491945e-05,-2.1459794903644358e-05
14,275.1612399282094,0.00010309158566857186,False,2.1957384386595002e-05,-7.390297620313291e-06,3.200124016755623e-05,5.275032087448395e-05,6.452743776863556e-05,8.713609274124678e-06,4.294361987078332e-05,-1.2856285271589662e-05,1.1913528605633772e-05
15,275.18167252225976,0.00010327229597169231,False,5.530365891548428e-05,1.4008963404643637e-05,6.685007087070538e-05,7.257635010748942e-05,9.40812626297749e-05,3.1065729055645974e-05,8.204769008779422e-05,8.345759269223763e-06,4.3757246960263174e-05
16,275.2021053160861,0.00010449420572268183,False,-0.00013440022372934735,-0.00016141359035848346,-0.00012520650875369466,-0.0001045560465207096,-0.00010303676192424671,-0.00014359393870500003,-0.00010605359982718277,-0.00016730471393500146,-0.00015104618385275437
17,275.22253800991166,0.00010023227412659872,False,6.917878840440039e-06,-1.026604908338502e-05,5.70690620960157e-06,4.479069736884611e-05,2.3056595407577873e-05,8.128851471278509e-06,2.8103765376874534e-05,-1.640391792767648e-05,-2.2643062022487115e-05
18,275.2429707032643,9.959423397710936e-05,False,-0.000202549997356416,-0.00021725419188167727,-0.00020659181985660524,-0.00016413622040134523,-0.00019383905742065277,-0.00019850817485622674,-0.00018199176871169787,-0.0002236631576130188,-0.00023720533841031788
19,275.2634033966242,0.00010346346631376902,False,-7.265707311798764e-05,-6.143750800480241e-05,-0.00010269998972423089,-1.0338782039709393e-05,-9.431608434451455e-05,-4.2543948759354855e-05,-7.718504256959413e-05,-6.812910366638114e-05,-0.0001353575342957214
20,275.2838360899841,9.892389426841246e-05,False,-7.344330799485821e-05,-6.995975349166628e-05,-9.13848500280201e-05,-2.0972125837626088e-05,-8.715252957203212e-05,-5.11155221968318e-05,-6.624941572275223e-05,-7.692686249805014e-05,-0.00012586224724908668
