,time,yerr,mask,method marginalized,local SAP,local PDC,polyAM SAP,polyAM PDC,GP SAP,GP PDC,CoFiAM SAP,CoFiAM PDC
0,274.8343168011925,,False,3.606032763325828e-05,3.8446447410578344e-05,,6.71119475803561e-05,,1.7409238355359236e-05,3.606032763325828e-05,2.2936243198046213e-05,
1,274.85474959781277,,False,-4.204803003671209e-06,1.0196938455608873e-05,,4.0929108432008476e-05,,-7.826010582245857e-06,-3.9024894083694583e-05,-4.204803003671209e-06,
2,274.87518219442427,,False,-3.31108255365864e-05,-1.9636065123229685e-05,,1.291191710417472e-05,,-3.476180686778907e-05,-7.506293336823067e-05,-3.31108255365864e-05,
3,274.895614890811,,False,-2.838967834373207e-06,9.501073882978162e-06,,4.3614554559257e-05,,-2.838967834373207e-06,-3.811772871431529e-05,-3.226705756032011e-06,
4,274.91604768695834,,False,0.00011129821400768236,0.0001209439356086861,,0.00015638155374197993,,0.00011129821400768236,5.3334574282581926e-05,0.0001087945022186787,
5,274.9364802828786,,False,4.7545849396923856e-05,4.7545849396923856e-05,,8.408799096226716e-05,,4.054649152385181e-05,5.117143909871835e-05,3.584422048086289e-05,
6,274.9773456744879,,False,-0.00011195890412696308,-0.00011195890412696308,,-7.38708570856561e-05,,-0.00011387051401623438,-7.960884543811719e-05,-0.00012317323022026372,
7,274.997778369936,,False,0.00014402406999147743,0.00014402406999147743,,0.00018260119395829832,,0.0001445619132278697,0.00011936380542332259,0.00013288611983086618,
8,275.0386437606139,,False,-9.76611504009961e-05,-9.76611504009961e-05,,-5.8703218366984444e-05,,-9.242614693483198e-05,-0.00014300202741335255,-0.00010892582611676804,
9,275.05907655559713,,False,-8.984925569832658e-05,-9.733082283625016e-05,,-5.842675001321851e-05,,-8.984925569832658e-05,-8.69699686213421e-05,-0.00010876383190605576,
10,275.07950915035326,,False,0.00029992481492313594,0.00029992481492313594,,0.00033861614742658475,,0.000309568577019137,0.00027107793514558054,0.0002882444308276444,
11,275.09994184511015,,False,-4.9333300672804725e-05,-6.106423082608003e-05,,-2.2767428634939968e-05,,-4.9333300672804725e-05,-4.0801874618301426e-05,-7.303378128664662e-05,
12,275.1203746396277,,False,3.1777765625795595e-05,2.050986618540307e-05,,5.8283718888496594e-05,,3.423602578811469e-05,3.1777765625795595e-05,8.20386663669126e-06,
13,275.14080723391817,,False,-3.9397945935659706e-05,-5.49944824277393e-05,,-1.7880768030886784e-05,,-3.9397945935659706e-05,1.6698201672493695e-06,-6.766120474299697e-05,
14,275.1612399282094,,False,9.914531182042552e-06,-7.390297620313291e-06,,2.893794211078493e-05,,9.914531182042552e-06,4.3675380643870554e-05,-2.0443092750399572e-05,
15,275.18167252225976,,False,3.2825193084118354e-05,1.4008963404643637e-05,,4.942755061421167e-05,,3.2825193084118354e-05,8.407449050196192e-05,5.544389829470475e-07,
16,275.2021053160861,,False,-0.0001413195912384202,-0.00016141359035848346,,-0.0001270268272968167,,-0.0001413195912384202,-0.00010274271769550314,-0.00017527465695266198,
17,275.22253800991166,,False,1.085634027919724e-05,-1.026604908338502e-05,,2.3000011165397183e-05,,1.085634027919724e-05,3.2424759334626074e-05,-2.4529958915886496e-05,
18,275.2429707032643,,False,-0.00019540197070933019,-0.00021725419188167727,,-0.0001852298954758691,,-0.00019540197070933019,-0.00017713378677386427,-0.00023191655064369598,
19,275.2634033966242,,False,-6.143750800480241e-05,-6.143750800480241e-05,,-3.073439486911411e-05,,-3.913797691368348e-05,-7.244521004523552e-05,-7.64863815926331e-05,
20,275.2838360899841,,False,-6.227822393134463e-05,-6.995975349166628e-05,,-4.065794951935153e-05,,-4.7483914128676474e-05,-6.227822393134463e-05,-8.535967437195424e-05,
21,275.3042687831039,,False,3.420210821047931e-05,3.420210821047931e-05,,6.201227161617417e-05,,5.658941541919482e-05,-5.556142511964346e-06,1.8463269480406552e-05,
22,275.3247013759974,,False,8.100920008335954e-05,5.891946890623778e-05,,8.51789531099989e-05,,8.100920008335954e-05,8.440311053314886e-05,4.289271048052434e-05,
23,275.34513416865957,,False,-2.6336343281974095e-05,-2.6336343281974095e-05,,-1.7036944274240184e-06,,-4.755655659161029e-06,-6.174600638619854e-05,-4.261731480237341e-05,
24,275.3655668610809,,False,-0.00013895144911912904,-0.00015982651341639453,,-0.00013688408895062842,,-0.00013895144911912904,-9.070986664605485e-05,-0.00017631984867017003,
25,275.3859994535087,,False,-1.7259904688815553e-05,-3.725801744847157e-05,,-1.6048261262557872e-05,,-1.7259904688815553e-05,-1.4204551138652377e-05,-5.3914386976106066e-05,
26,275.4064322457052,,False,5.584537468705797e-05,3.6880819063167536e-05,,5.630739166084808e-05,,5.584537468705797e-05,0.00011499329398279023,2.0112992737075785e-05,
27,275.4268649378937,,False,4.483635619156878e-05,2.7232413380096077e-05,,4.483635619156878e-05,,4.50439810566472e-05,5.2860805049848025e-05,1.041451991956599e-05,
28,275.44729752985586,,False,0.00014421210936799156,0.000128478440451385,,0.00014421210936799156,,0.0001450271771532563,0.00019805033441744335,0.00011165407000435223,
29,275.46773022158595,,False,0.00014613778936700683,0.00013229457660601796,,0.00014613778936700683,,0.00014750409873154346,0.0001697027391307504,0.00011553915508599744,
30,275.4881630130767,,False,-9.15500805753755e-05,-0.00010347059729309827,,-9.15500805753755e-05,,-8.970747781311683e-05,-6.388566408377372e-05,-0.00012009342319385663,
31,275.5085956045732,,False,-7.196919696916826e-05,-8.194504477776476e-05,,-7.196919696916826e-05,,-6.976276166248407e-05,-5.116843655594838e-05,-9.837930058709254e-05,
