,time,mask,method marginalized,local SAP,local PDC,polyAM SAP,polyAM PDC,GP SAP,GP PDC,CoFiAM SAP,CoFiAM PDC
0,274.8343168011925,False,3.542926971122906e-05,,,,,3.479821178919984e-05,3.606032763325828e-05,4.6222206956603173e-05,1.3003236163822152e-05
1,274.85474959781277,False,-3.892003268773925e-05,,,,,-3.881517129178391e-05,-3.9024894083694583e-05,-3.2121722742806114e-05,-6.328467434069118e-05
2,274.87518219442427,False,-7.455933664674008e-05,,,,,-7.40557399252495e-05,-7.506293336823067e-05,-7.128665255462519e-05,-9.899027818749406e-05
3,274.895614890811,False,-3.7649823526442194e-05,,,,,-3.71819183385691e-05,-3.811772871431529e-05,-3.712554703416693e-05,-6.0097828263105946e-05
4,274.91604768695834,False,5.258662022389338e-05,,,,,5.3624056401968545e-05,5.3334574282581926e-05,5.183866616520483e-05,3.467949995172859e-05
5,274.9364802828786,False,4.903018743818155e-05,,,,,5.074850310360368e-05,5.117143909871835e-05,4.731187177275942e-05,3.6805566031361536e-05
6,274.9773456744879,False,-8.246304250913994e-05,,,,,-8.125200593511739e-05,-7.960884543811719e-05,-8.780801580787756e-05,-8.367407908316249e-05
7,274.997778369936,False,0.00011815829010375367,,,,,0.00011695277478418475,0.00011936380542332259,0.00010938322761755437,0.0001208574813149621
8,275.0386437606139,False,-0.00014502795751020203,,,,,-0.00014705388760705151,-0.00014300202741335255,-0.00015574276699736878,-0.0001312060069148524
9,275.05907655559713,False,-8.973018647934206e-05,,,,,-9.249040433734201e-05,-8.69699686213421e-05,-0.00010040149026835365,-7.074008558016764e-05
10,275.07950915035326,False,0.0002676701632023937,,,,,0.0002642623912592068,0.00027107793514558054,0.00025711748093071307,0.00029063414218089
11,275.09994184511015,False,-4.421451723451986e-05,,,,,-4.762715985073829e-05,-4.0801874618301426e-05,-5.5629453203587254e-05,-1.9748848286038623e-05
12,275.1203746396277,False,2.8950985558440223e-05,,,,,2.612420549108485e-05,3.1777765625795595e-05,1.582198438132565e-05,5.2486040907684384e-05
13,275.14080723391817,False,-4.5114964375425615e-08,,,,,-1.7600500960002208e-06,1.6698201672493695e-06,-1.5517386612873274e-05,2.027909806834316e-05
14,275.1612399282094,False,4.35361895395614e-05,,,,,4.339699843525224e-05,4.3675380643870554e-05,2.5331534289074753e-05,5.863617899981577e-05
15,275.18167252225976,False,8.590178217249278e-05,,,,,8.772907384302364e-05,8.407449050196192e-05,6.486425882146207e-05,9.414442906829912e-05
16,275.2021053160861,False,-0.00010050422360624589,,,,,-9.485759533589544e-05,-0.00010274271769550314,-0.00012214808896493512,-9.826572951698864e-05
17,275.22253800991166,False,3.1913217015344664e-05,,,,,4.3912972196302746e-05,3.2424759334626074e-05,1.4048081116380118e-05,3.140167469606325e-05
18,275.2429707032643,False,-0.00018001734440487027,,,,,-0.0001633458464180837,-0.00017713378677386427,-0.00019286365099324687,-0.00018290090203587628
19,275.2634033966242,False,-7.700567119789392e-05,,,,,-5.836397503256041e-05,-7.244521004523552e-05,-8.360877706714565e-05,-8.156613235055232e-05
20,275.2838360899841,False,-6.468736184311874e-05,,,,,-4.988303021191687e-05,-6.227822393134463e-05,-6.709649975489285e-05,-7.315772857585667e-05
21,275.3042687831039,False,-4.132124309497165e-06,,,,,3.6337442361755734e-06,-5.556142511964346e-06,-2.708106107029984e-06,-1.6694878651302147e-05
22,275.3247013759974,False,8.695877420017428e-05,,,,,8.95144378671997e-05,8.440311053314886e-05,9.56052781204697e-05,7.422737797724288e-05
23,275.34513416865957,False,-6.144125193724426e-05,,,,,-6.113649748828998e-05,-6.174600638619854e-05,-4.2105931201019686e-05,-6.999809675156676e-05
24,275.3655668610809,False,-9.289055206024299e-05,,,,,-9.507123747443114e-05,-9.070986664605485e-05,-6.293502941789875e-05,-9.617320587607114e-05
25,275.3859994535087,False,-1.5253657434932677e-05,,,,,-2.373850725301274e-05,-1.4204551138652377e-05,2.0866221609683322e-05,-1.6302763731212977e-05
26,275.4064322457052,False,0.00011559978210662347,,,,,0.00010102406827905419,0.00011499329398279023,0.0001557031951251453,0.00011620627023045671
27,275.4268649378937,False,5.4734331264461034e-05,,,,,3.6355676522825675e-05,5.2860805049848025e-05,9.670406018713606e-05,5.660785747907404e-05
28,275.44729752985586,False,0.0002005643609137575,,,,,0.00018164868356373987,0.00019805033441744335,0.00024202158684971664,0.00020307838741007167
29,275.46773022158595,False,0.00017211727467525417,,,,,0.00015642845862084975,0.0001697027391307504,0.00021059410525081645,0.00017453181021975794
30,275.4881630130767,False,-6.213286878958835e-05,,,,,-7.168326033801797e-05,-6.388566408377372e-05,-2.88089866224972e-05,-6.0380073495402975e-05
31,275.5085956045732,False,-5.023051547603519e-05,,,,,-5.2664478998432074e-05,-5.116843655594838e-05,-2.3618083852872118e-05,-4.929259439612199e-05
32,275.52902829583763,False,-7.509603439265211e-05,,,,,-7.316710413751704e-05,-7.763066028809718e-05,-5.84084000145868e-05,-7.702496464778719e-05
33,275.5698937778943,False,2.6991578896962132e-05,,,,,3.8354687206698657e-05,2.5314941509702038e-05,2.8135559202890903e-05,2.584759859103336e-05
34,275.5903263684595,False,-0.0002170789285080854,,,,,-0.00020306373937095668,-0.00021810311070746824,-0.00022232065258964706,-0.00021605474630870258
35,275.61075915925176,False,3.8280283042313457e-05,,,,,5.085892419032234e-05,3.589250801749877e-05,2.60866000270088e-05,4.066805806712814e-05
36,275.63119184958487,False,-0.00014912961159946336,,,,,-0.0001401328907419952,-0.00015330940707114493,-0.00016723050091627112,-0.0001449498161277818
37,275.6516244399172,False,2.1534728578354034e-05,,,,,2.6557737539123494e-05,1.6511719617584575e-05,-1.391817135987239e-07,2.889511523229693e-05
38,275.6924899198784,False,0.00011608258045370246,,,,,0.00011770607204586447,0.00011445908886154044,9.486265586011733e-05,0.00013338845253163534
39,275.7129225097451,False,-8.48054298308032e-06,,,,,-7.956864444658152e-06,-9.004221521502487e-06,-2.9578998665735767e-05,1.1252430244468314e-05
40,275.73335519937245,False,9.339757926518644e-05,,,,,9.332480315471514e-05,9.347035537565773e-05,7.210321993245117e-05,0.00011346050798688445
41,275.753787988775,False,-6.422277953399558e-05,,,,,-6.449660307461524e-05,-6.394895599337591e-05,-8.582956096558902e-05,-4.5773072554933236e-05
42,275.774220578176,False,5.800002584033237e-05,,,,,5.761666736159299e-05,5.838338431907175e-05,3.653070485643006e-05,7.353485938410564e-05
43,275.7946532673377,False,-0.00020392765772514476,,,,,-0.00020455086729875838,-0.00020330444815153115,-0.00022438112314615566,-0.00019207402533194529
44,275.81508595627383,False,6.767975011778837e-05,,,,,6.648447186430317e-05,6.887502837127357e-05,4.945946577805671e-05,7.565915582041782e-05
45,275.8355187452107,False,2.2709491632078027e-05,,,,,2.089231056601193e-05,2.4526672698144125e-05,7.354092566025372e-06,2.6276288704885076e-05
46,275.855951333906,False,2.512688566291832e-05,,,,,2.4783371131986698e-05,2.930409254231492e-05,1.466616334289128e-05,2.547040019384994e-05
47,275.87638402237644,False,6.603514625480589e-05,,,,,6.8538408584784e-05,7.33301291555577e-05,6.133145127695805e-05,6.353188392482778e-05
48,275.8968167106141,False,-2.553137078808998e-06,,,,,-7.553019143458073e-08,4.309105346766984e-06,-5.030743966183415e-06,-1.154247107459927e-05
49,275.91724939884443,False,-8.279485782308749e-05,,,,,-8.129861120798054e-05,-7.771388629651543e-05,-8.429110443819443e-05,-9.923963759361776e-05
50,275.9376819868485,False,0.00014121019039081695,,,,,0.00014174535705713254,0.00014433903703503503,0.00014067502372450136,0.0001179282757799438
51,275.95811477485404,False,2.2324305959386948e-08,,,,,-2.7366322452593295e-07,1.0215509087529995e-06,3.1831183644470684e-07,-2.9233012062146457e-05
52,275.9785474623859,False,4.570313284157912e-06,,,,,4.461033218827737e-06,4.679593349488087e-06,7.16750853957393e-06,-2.790731260449153e-05
53,275.9989800499243,False,-0.0001260560962416668,,,,,-0.00012609659511531035,-0.00012601559736802326,-0.00011985807232861578,-0.0001589247486755152
54,276.0194127374634,False,-7.299678755096073e-05,,,,,-7.373428147194883e-05,-7.225929362997263e-05,-6.180592392057704e-05,-0.0001031700371312283
55,276.0602782116039,False,7.05361832132878e-05,,,,,6.671398722879474e-05,7.435837919778088e-05,9.392889139547833e-05,5.33963470903398e-05
56,276.0807107986766,False,-2.70628474187129e-05,,,,,-3.254609621283766e-05,-2.1579598624588137e-05,1.6450456044037054e-06,-3.578559414152416e-05
57,276.1011435852779,False,4.944028634490394e-05,,,,,3.923716809262068e-05,5.297478996069138e-05,7.860719677865724e-05,4.5905782729116495e-05
58,276.1215762718857,False,5.965376584682325e-05,,,,,4.4429786812960614e-05,5.976264028162426e-05,8.608454334502191e-05,5.954489141202224e-05
59,276.14200885825994,False,7.825449413323415e-05,,,,,6.0183276737957314e-05,7.538630671866109e-05,0.00010033553513544291,8.112268154780722e-05
60,276.16244154462765,False,0.00013637062373983433,,,,,0.00011821754820084962,0.00013120441154002016,0.00015257183636907534,0.0001415368359396485
61,276.1828743307706,False,6.582315546777018e-05,,,,,5.047187621287641e-05,5.914462515188568e-05,7.485542446739046e-05,7.250168578365468e-05
62,276.20330691667914,False,-2.7074592757636573e-05,,,,,-3.421886975318866e-05,-3.13381779726285e-05,-2.2811007542644646e-05,-1.6351737390785104e-05
63,276.2646049734685,False,-5.725693897540296e-05,,,,,-4.9575457159445335e-05,-6.485894374375079e-05,-7.970546219437935e-05,-4.9654934207055135e-05
64,276.2850376589049,False,-0.000101871515748031,,,,,-9.003036730304004e-05,-0.00010936529386751381,-0.00013025047068238038,-9.437773762854818e-05
65,276.3054703438829,False,-0.00010139948801607401,,,,,-8.749373366301327e-05,-0.00010899096446181922,-0.00013404947509998433,-9.380801157032881e-05
66,276.3259030288609,False,-7.0469284639052e-05,,,,,-5.6567644165173014e-05,-7.836911335645791e-05,-0.00010555528387323765,-6.256945592164609e-05
67,276.34633571383165,False,2.645548940638509e-05,,,,,3.890365260716955e-05,1.8166782293826955e-05,-9.26329219319566e-06,3.474419651894323e-05
