,time,mask,local SAP,local PDCSAP,polyAM SAP,polyAM PDCSAP,GP SAP,GP PDCSAP,CoFiAM SAP,CoFiAM PDCSAP
0,274.8343168011925,False,0.0001908425135659364,0.0001720885091773816,0.0001714736116351645,0.00025482945014321245,1.6695697691915257e-05,3.476592845852444e-05,3.023962326698104e-05,2.6997286280527888e-05
1,274.85474959781277,False,0.000162779660697554,9.108840713767385e-05,0.00014380252191470433,0.0001719520828908916,-8.635726598260618e-06,-3.836360178999243e-05,5.475004807298234e-06,-5.4168795280640225e-05
2,274.87518219442427,False,0.00013291754946731515,4.905457017101433e-05,0.00011433108970715367,0.0001280552990088335,-3.559695852428657e-05,-7.336098154597792e-05,-2.1070392179134423e-05,-9.550458562479491e-05
3,274.895614890811,False,0.00016178164391589256,8.006785807790351e-05,0.0001435836577814431,0.00015722238418724999,-3.662587671371398e-06,-3.6556990878011675e-05,1.1112399404877848e-05,-6.244503007635238e-05
4,274.91604768695834,False,0.00027264540490778977,0.00016553894649318224,0.00025483331722098157,0.00024086225291464203,0.00011045286078981142,5.399538427552919e-05,0.00012528682354262521,2.6849254072480733e-05
5,274.9364802828786,False,0.00019839425355683282,0.00015710921516687293,0.00018097020800045271,0.0002306051551266286,3.969047446283902e-05,5.090567225529696e-05,5.437062944535498e-05,2.4353767736684517e-05
6,274.9773456744879,False,3.645754041436966e-05,1.2744387214214115e-05,1.9806050501891548e-05,8.261007670928855e-05,-0.0001146816865450484,-8.131208872330653e-05,-0.00010093102380237529,-0.00010136009427319514
7,274.997778369936,False,0.00029098190514442734,0.00020450996372978203,0.00027470930250861336,0.0002725956274980401,0.00014383776807225246,0.00011670954702736047,0.0001568352982674881,0.00010287664896946325
8,275.0386437606139,False,4.5609457637540984e-05,-7.319986198206507e-05,3.0103111580581654e-05,-8.685259790586208e-06,-9.294773375778664e-05,-0.00014771847588634923,-8.203901847980699e-05,-0.000145297853867854
9,275.05907655559713,False,4.382136008107551e-05,-2.5026805872685465e-05,2.8694228860315363e-05,3.773166456055854e-05,-9.025919196525845e-05,-9.375535690525627e-05,-8.064747599045852e-05,-8.124797684638807e-05
10,275.07950915035326,False,0.0004388210147079352,0.0003247513585908912,0.00042406591178845154,0.00038578329268035283,0.0003092872917118683,0.0002623372922563316,0.00031744246073572846,0.00028426393652325466
11,275.09994184511015,False,7.527520302219592e-05,3.7532844707754975e-06,6.090197640729045e-05,6.302908650579475e-05,-4.949177834878693e-05,-4.972864245134101e-05,-4.296577338736007e-05,-2.1777004770573427e-05
12,275.1203746396277,False,0.00015422335209636095,6.646461102843837e-05,0.00014022415969128232,0.00012401889782398534,3.424636499227418e-05,2.4176631690409067e-05,3.901874725742438e-05,5.446231909922439e-05
13,275.14080723391817,False,7.58975878407675e-05,2.597942094606509e-05,6.227322670770974e-05,8.181770636261909e-05,-3.923855605325599e-05,-3.2180972177053846e-06,-3.630323118108958e-05,2.559264520507476e-05
14,275.1612399282094,False,0.00012059535111319519,5.735053187394534e-05,0.00010734270974532834,0.00011148835275953672,1.026766794653966e-05,4.273319887060367e-05,1.1331625348942609e-05,6.632094705438796e-05
15,275.18167252225976,False,0.00013890081501566343,8.71725492481712e-05,0.00012601881613916177,0.00013962128636557658,3.332023121660477e-05,8.816901317598713e-05,3.252283729060501e-05,0.00010307915104101895
16,275.2021053160861,False,-3.977246009101432e-05,-0.00010965719105260341,-5.2282807436854206e-05,-5.8897557467796346e-05,-0.00014069879968559018,-9.311447379400928e-05,-0.0001432996201636838,-8.921224781333059e-05
17,275.22253800991166,False,0.0001080925106637931,1.668846593938511e-05,9.594822011615989e-05,6.578717377658805e-05,1.1625196696174456e-05,4.6788246803375344e-05,7.326288024467331e-06,3.9495936460243186e-05
18,275.2429707032643,False,-0.00010236862803203461,-0.00019992310320138262,-0.0001141440535012972,-0.00015249032372388616,-0.0001945350672880597,-0.0001596643961137012,-0.00020039392367576792,-0.0001765725033854304
19,275.2634033966242,False,4.987378245369101e-05,-0.00010015116825778936,3.84613853863236e-05,-5.4357384554393207e-05,-3.8238152421099514e-05,-5.452287338092443e-05,-4.550169736283749e-05,-7.757117731777008e-05
20,275.2838360899841,False,3.770922389345621e-05,-9.273225022965459e-05,2.6660214748952527e-05,-4.857009609360308e-05,-4.653655370123744e-05,-4.646525471874163e-05,-5.505470302169524e-05,-7.168446127581163e-05
21,275.3042687831039,False,0.0001381269121840667,-3.693212277466884e-05,0.00012743848733665075,5.6122508176326136e-06,5.755812068097832e-05,6.204654214858607e-06,4.7911597444771914e-05,-1.7596703034139516e-05
22,275.3247013759974,False,0.00015907076979115864,5.342612442582606e-05,0.00014874220497751445,9.436581801902655e-05,8.203476920143338e-05,9.103813648581038e-05,7.136089972736848e-05,7.140907125213758e-05
