,time,yerr,mask,method marginalized,local SAP,local PDCSAP,polyAM SAP,polyAM PDCSAP,GP SAP,GP PDCSAP,CoFiAM SAP,CoFiAM PDCSAP
0,274.8343168011925,9.716431976201524e-05,False,3.598807314775243e-05,3.8446447410578344e-05,2.9840248650492285e-05,6.71119475803561e-05,0.00020967845624442205,1.7409238355359236e-05,3.606032763325828e-05,2.2936243198046213e-05,3.591581866224658e-05
1,274.85474959781277,0.00010739829973834035,False,-6.015406792958533e-06,1.0196938455608873e-05,-4.16130414908622e-05,4.0929108432008476e-05,0.0001270292262438577,-7.826010582245857e-06,-3.9024894083694583e-05,-4.204803003671209e-06,-3.7645762228311064e-05
2,274.87518219442427,0.00011234113381550124,False,-3.393631620218773e-05,-1.9636065123229685e-05,-7.44279492611577e-05,1.291191710417472e-05,8.337672580305266e-05,-3.476180686778907e-05,-7.506293336823067e-05,-3.31108255365864e-05,-7.189451132705305e-05
3,274.895614890811,0.0001063041927231508,False,-3.032836795202609e-06,9.501073882978162e-06,-3.451712280566621e-05,4.3614554559257e-05,0.00011281155529374587,-2.838967834373207e-06,-3.811772871431529e-05,-3.226705756032011e-06,-3.2798183628668376e-05
4,274.91604768695834,0.00011932522294883757,False,0.00011004635811318053,0.0001209439356086861,5.9538079105525554e-05,0.00015638155374197993,0.00019673890279925388,0.00011129821400768236,5.3334574282581926e-05,0.0001087945022186787,6.1003967297024175e-05
5,274.9364802828786,9.755277632841811e-05,False,5.527897094315115e-05,4.7545849396923856e-05,5.938650278758395e-05,8.408799096226716e-05,0.0001867776648694086,4.054649152385181e-05,5.117143909871835e-05,3.584422048086289e-05,6.110045768092931e-05
6,274.9773456744879,0.00010200399435986523,False,-7.673985126188665e-05,-0.00011195890412696308,-6.932361129574627e-05,-7.38708570856561e-05,3.942095436326731e-05,-0.00011387051401623438,-7.960884543811719e-05,-0.00012317323022026372,-6.585876923359546e-05
7,274.997778369936,9.684536596249793e-05,False,0.00013935053011593368,0.00014402406999147743,0.00012983472013972097,0.00018260119395829832,0.00022975668700730978,0.0001445619132278697,0.00011936380542332259,0.00013288611983086618,0.00013467699024038993
8,275.0386437606139,0.00010384312208694018,False,-0.00010329348825888207,-9.76611504009961e-05,-0.0001339527483005254,-5.8703218366984444e-05,-5.080842704408006e-05,-9.242614693483198e-05,-0.00014300202741335255,-0.00010892582611676804,-0.000125674741195958
9,275.05907655559713,9.83660823839034e-05,False,-8.309833281927581e-05,-9.733082283625016e-05,-7.922669701720952e-05,-5.842675001321851e-05,-3.9997300598226815e-06,-8.984925569832658e-05,-8.69699686213421e-05,-0.00010876383190605576,-6.901219037491746e-05
10,275.07950915035326,9.913521302822369e-05,False,0.0002944976645228303,0.00029992481492313594,0.0002768512526598599,0.00033861614742658475,0.00034447468177467577,0.000309568577019137,0.00027107793514558054,0.0002882444308276444,0.0002890705141225247
11,275.09994184511015,9.90367451535787e-05,False,-3.9471477488506324e-05,-6.106423082608003e-05,-3.814108035871122e-05,-2.2767428634939968e-05,2.2119941395892795e-05,-4.9333300672804725e-05,-4.0801874618301426e-05,-7.303378128664662e-05,-2.3918524315158507e-05
12,275.1203746396277,9.802675712350345e-05,False,3.300689570695514e-05,2.050986618540307e-05,3.0337752242148852e-05,5.8283718888496594e-05,8.354459502712963e-05,3.423602578811469e-05,3.1777765625795595e-05,8.20386663669126e-06,4.652040546915259e-05
13,275.14080723391817,0.00010376803001399471,False,-1.1259257680640289e-05,-5.49944824277393e-05,-4.637747330393793e-06,-1.7880768030886784e-05,4.178812677979593e-05,-3.9397945935659706e-05,1.6698201672493695e-06,-6.766120474299697e-05,1.3403682777468617e-05
14,275.1612399282094,0.00010098353420892515,False,3.0469591139170582e-05,-7.390297620313291e-06,3.200124016755623e-05,2.893794211078493e-05,7.192201582184587e-05,9.914531182042552e-06,4.3675380643870554e-05,-2.0443092750399572e-05,5.1755238101858225e-05
15,275.18167252225976,0.00010466809354736839,False,5.8138810742458524e-05,1.4008963404643637e-05,6.685007087070538e-05,4.942755061421167e-05,0.00010052891814615883,3.2825193084118354e-05,8.407449050196192e-05,5.544389829470475e-07,8.812566507354624e-05
16,275.2021053160861,0.00010218049581477938,False,-0.00012611666802525567,-0.00016141359035848346,-0.00012520650875369466,-0.0001270268272968167,-9.751521522438633e-05,-0.0001413195912384202,-0.00010274271769550314,-0.00017527465695266198,-0.00010264459078523913
17,275.22253800991166,9.768982552200218e-05,False,1.6928175722297212e-05,-1.026604908338502e-05,5.70690620960157e-06,2.3000011165397183e-05,2.767225433264464e-05,1.085634027919724e-05,3.2424759334626074e-05,-2.4529958915886496e-05,2.9297827689456213e-05
18,275.2429707032643,9.777873032274065e-05,False,-0.00019274788183420988,-0.00021725419188167727,-0.00020659181985660524,-0.0001852298954758691,-0.00019009379295908957,-0.00019540197070933019,-0.00017713378677386427,-0.00023191655064369598,-0.00018227383006275133
19,275.2634033966242,9.864070521721724e-05,False,-7.446579581893431e-05,-6.143750800480241e-05,-0.00010269998972423089,-3.073439486911411e-05,-9.142713387155776e-05,-3.913797691368348e-05,-7.244521004523552e-05,-7.64863815926331e-05,-7.796528177761441e-05
20,275.2838360899841,9.93373920257104e-05,False,-6.826601040677005e-05,-6.995975349166628e-05,-9.13848500280201e-05,-4.065794951935153e-05,-8.509807594414553e-05,-4.7483914128676474e-05,-6.227822393134463e-05,-8.535967437195424e-05,-6.657226732187382e-05
