,time,yerr,mask,method marginalized,local SAP,local PDC,polyAM SAP,polyAM PDC,GP SAP,GP PDC,CoFiAM SAP,CoFiAM PDC
0,274.8343168011925,9.903024903046378e-05,False,3.084585325119349e-05,3.8446447410578344e-05,,,,2.126616696584982e-05,3.683435454404638e-05,2.48573519583406e-05,
1,274.85474959781277,0.00010579458231825709,False,-2.8909778763130944e-06,1.0196938455608873e-05,,,,-3.930511446426088e-06,-3.865684467441177e-05,-1.8514443062001007e-06,
2,274.87518219442427,0.00010467837721035952,False,-3.059569716973298e-05,-1.9636065123229685e-05,,,,-3.0862713096935224e-05,-7.492283993371096e-05,-3.0328681242530742e-05,
3,274.895614890811,0.0001021573974443982,False,5.008129473349499e-07,9.501073882978162e-06,,,,1.0222514663649207e-06,-3.797314516595929e-05,-2.0625571695020994e-08,
4,274.91604768695834,0.00010933226725816117,False,0.00011374455836388186,0.0001209439356086861,,,,0.00011507085919748583,5.36528898265054e-05,0.0001124182575302779,
5,274.9364802828786,9.834955473260355e-05,False,4.58582262692353e-05,4.7545849396923856e-05,,,,4.417060314154675e-05,5.171370482104365e-05,3.9876856772202984e-05,
6,274.9773456744879,0.00010803215376721328,False,-0.00011133801702367663,-0.00011195890412696308,,,,-0.00011071712992039018,-7.860705988271821e-05,-0.00011835354818889865,
7,274.997778369936,9.749553955027317e-05,False,0.00014105342475967397,0.00014402406999147743,,,,0.00014740170393445773,0.00012062672297941113,0.00013808277952787051,
8,275.0386437606139,0.00010743787638652231,False,-0.00010034188342533668,-9.76611504009961e-05,,,,-9.037167711412053e-05,-0.00014129341420676678,-0.00010302261644967725,
9,275.05907655559713,9.770939422194099e-05,False,-9.279179017818162e-05,-9.733082283625016e-05,,,,-8.825275752011308e-05,-8.498628310182887e-05,-0.00010253117270164758,
10,275.07950915035326,0.00010234155831727584,False,0.00029735796290797367,0.00029992481492313594,,,,0.00031066487576469903,0.0002732102938369785,0.0002947911108928114,
11,275.09994184511015,9.849916241991279e-05,False,-5.4924158817526436e-05,-6.106423082608003e-05,,,,-4.878408680897284e-05,-3.890478146850729e-05,-6.619727219292493e-05,
12,275.1203746396277,9.852980749765557e-05,False,2.679643504466256e-05,2.050986618540307e-05,,,,3.4207930520446794e-05,3.308300390392205e-05,1.5312749977125506e-05,
13,275.14080723391817,0.00010322401694179948,False,-4.7505150484794534e-05,-5.49944824277393e-05,,,,-4.001581854184977e-05,2.0768250412750433e-06,-6.0302553832491945e-05,
14,275.1612399282094,0.00010432424239320325,False,6.616558269056938e-07,-7.390297620313291e-06,,,,8.713609274124678e-06,4.294361987078332e-05,-1.2856285271589662e-05,
15,275.18167252225976,0.00010463666012806248,False,2.2537346230144806e-05,1.4008963404643637e-05,,,,3.1065729055645974e-05,8.204769008779422e-05,8.345759269223763e-06,
16,275.2021053160861,0.00010596217648872404,False,-0.00015250376453174175,-0.00016141359035848346,,,,-0.00014359393870500003,-0.00010605359982718277,-0.00016730471393500146,
17,275.22253800991166,0.0001018687613344407,False,-1.0685988060532559e-06,-1.026604908338502e-05,,,,8.128851471278509e-06,2.8103765376874534e-05,-1.640391792767648e-05,
18,275.2429707032643,0.00010132490585967919,False,-0.000207881183368952,-0.00021725419188167727,,,,-0.00019850817485622674,-0.00018199176871169787,-0.0002236631576130188,
19,275.2634033966242,0.00010411994479755917,False,-6.478330583559178e-05,-6.143750800480241e-05,,,,-4.2543948759354855e-05,-7.718504256959413e-05,-6.812910366638114e-05,
20,275.2838360899841,9.924004791643858e-05,False,-6.810458460720925e-05,-6.995975349166628e-05,,,,-5.11155221968318e-05,-6.624941572275223e-05,-7.692686249805014e-05,
21,275.3042687831039,0.0001153930287489815,False,3.057361876135367e-05,3.420210821047931e-05,,,,5.2792832156978164e-05,-8.238244753822066e-06,2.6945129312228033e-05,
