Global Evidence:    0.205524046961373728E+02  +/-    0.949320279643611625E-01

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Evidence    0.205524046961373728E+02 +/-    0.949320279643615927E-01
Local Evidence    0.205524046961373728E+02 +/-    0.949320279643611625E-01

Dim No.       Mean        Sigma
   1   -0.382789806572582858E+01    0.235605093513854030E+00
   2    0.221140611282700199E-03    0.744145395917557810E-04
   3    0.212375402043629009E+03    0.109362443144591701E+02
   4    0.846153086243184589E+03    0.160310451653580515E+02
   5    0.426566648480356747E+00    0.121960676699273643E+00
   6    0.131716624944170635E+00    0.263858054263497802E-01
   7    0.249133360227998821E+03    0.114989247667776517E+02
   8    0.290472180342121874E+03    0.140658625263687078E+02
   9    0.879124123787272680E+02    0.503438586611356627E+02
  10    0.181633728417494098E+03    0.121323878358415584E+03
  11    0.160885406419613872E+03    0.944545927265980230E-03
  12    0.505739967514670319E+00    0.437431882279470789E-03

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.401820266800438830E+01
   2    0.198877300650670050E-03
   3    0.211273757186053103E+03
   4    0.844559309321779210E+03
   5    0.456757791792550827E+00
   6    0.125865241868495625E+00
   7    0.248154120187905448E+03
   8    0.285355133809305130E+03
   9    0.825936171234697269E+02
  10    0.452013877127473123E+02
  11    0.160885667995746587E+03
  12    0.505783310174908851E+00

MAP Parameters
Dim No.        Parameter
   1   -0.401820266800438830E+01
   2    0.198877300650670050E-03
   3    0.211273757186053103E+03
   4    0.844559309321779210E+03
   5    0.456757791792550827E+00
   6    0.125865241868495625E+00
   7    0.248154120187905448E+03
   8    0.285355133809305130E+03
   9    0.825936171234697269E+02
  10    0.452013877127473123E+02
  11    0.160885667995746587E+03
  12    0.505783310174908851E+00
