Global Evidence:    0.137724619108743340E+02  +/-    0.100325909957369397E+00

Local Mode Properties
-------------------------------------------

Total Modes Found:           1


Mode   1
Strictly Local Evidence    0.137724619108743340E+02 +/-    0.100325909957369383E+00
Local Evidence    0.137724619108743340E+02 +/-    0.100325909957369397E+00

Dim No.       Mean        Sigma
   1    0.849311205029657824E-02    0.423938198803235078E-02
   2    0.271221768611826092E-04    0.687628246156417088E-05
   3    0.162236514538376326E+03    0.173631882578190982E+03
   4    0.314489799103809389E+03    0.871692544987633866E+01
   5    0.530136758285436951E-01    0.275553184093564572E-01
   6    0.126311683845356765E+00    0.400188244173496493E-01
   7    0.157535258912037278E+03    0.146461548435995411E+03
   8    0.199790290928115922E+03    0.252635341062514520E+02
   9    0.132054528029674970E+03    0.330347123398528808E+02
  10    0.134235173835640779E+03    0.109109610836824061E+03
  11    0.160884997657322941E+03    0.220840662851566399E-02
  12    0.505655489209184239E+00    0.447831092119041767E-03

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.881955730885542778E-02
   2    0.370944364526005360E-04
   3    0.355602553014395362E+01
   4    0.316337365665866059E+03
   5    0.654095110779736727E-01
   6    0.808608648688897286E-01
   7    0.423340236216167085E+02
   8    0.185828447431072874E+03
   9    0.130398155109916644E+03
  10    0.197138735800763527E+03
  11    0.160885726234230390E+03
  12    0.505786650549739702E+00

MAP Parameters
Dim No.        Parameter
   1    0.881955730885542778E-02
   2    0.370944364526005360E-04
   3    0.355602553014395362E+01
   4    0.316337365665866059E+03
   5    0.654095110779736727E-01
   6    0.808608648688897286E-01
   7    0.423340236216167085E+02
   8    0.185828447431072874E+03
   9    0.130398155109916644E+03
  10    0.197138735800763527E+03
  11    0.160885726234230390E+03
  12    0.505786650549739702E+00
