epoch,t0s,t0s_err
0, 54955.078824101103, 0.0014641763992
1, 54966.004573441725, 0.00141831272775
2, 54976.930565406295, 0.00151868365355
3, 54987.851208946529, 0.00145629757025
5, 55009.694554990474, 0.00129679222665
6, 55020.60876046765, 0.0013738591806
7, 55031.527867219294, 0.00136170853515
8, 55042.441617165037, 0.0013567539863
9, 55053.357535689829, 0.001431157747
11, 55075.182300939636, 0.0013258460531
12, 55086.095242233281, 0.00169245583675
13, 55097.002952600214, 0.0012082168578
14, 55107.913626406742, 0.00151408971945
15, 55118.82340138682, 0.0012801094599
16, 55129.734332374406, 0.0013023833817
17, 55140.640582613021, 0.00149930726185
18, 55151.554364832336, 0.00130959783565
19, 55162.463502515995, 0.0013997534115
20, 55173.379748813881, 0.00118361147545
22, 55195.220475879483, 0.00078443082385
23, 55206.140209992089, 0.0007473632104
25, 55228.009217146944, 0.00094003909545
26, 55238.959585273169, 0.00116986253485
27, 55249.906700868021, 0.0008840732735
28, 55260.871483570525, 0.00091115903705
30, 55282.816015888005, 0.0009113762426
31, 55293.800311707379, 0.00087501485905
32, 55304.794781997713, 0.00092029389635
33, 55315.794804486352, 0.00082759643555
34, 55326.798103186775, 0.0010150079252
35, 55337.815110286956, 0.00105798742515
36, 55348.826886767805, 0.0011689119565
37, 55359.850847596958, 0.0009310803762
39, 55381.89290739339, 0.0009588099674
40, 55392.905125757883, 0.00084897259875
41, 55403.936264316235, 0.00086095956795
42, 55414.93766533551, 0.00095495010825
43, 55425.961945244562, 0.00095638523635
44, 55436.955868804325, 0.001046200352
45, 55447.967724957154, 0.0010189565874
46, 55458.948571570301, 0.00086955717775
47, 55469.946187974943, 0.0010280603128
48, 55480.911429585562, 0.0009456466905
49, 55491.892296477043, 0.00096074086105
50, 55502.84200917936, 0.00104742713665
51, 55513.805135516301, 0.0009028096829
52, 55524.744327752502, 0.0008662639593
53, 55535.691136246376, 0.00090386942245
54, 55546.621084413124, 0.0012551100117
57, 55579.401459535507, 0.00098303025515
58, 55590.319085482399, 0.0009532376789
59, 55601.237154456547, 0.0008875354615
60, 55612.152906323401, 0.00107159615435
61, 55623.067722774547, 0.0009721767274
62, 55633.984487369093, 0.0009148694808
63, 55644.900560490161, 0.0008946832786
64, 55655.817088555923, 0.0008481064324
65, 55666.730955144689, 0.00117437123845
66, 55677.648964135889, 0.00124357176175
67, 55688.564390981985, 0.0011280256258
68, 55699.483013722442, 0.00084427652835
69, 55710.40019422365, 0.00122053348245
70, 55721.31897719641, 0.00172109276175
71, 55732.238827241639, 0.0011377105875
72, 55743.157853261393, 0.0008805370126
73, 55754.079819717808, 0.00097937786995
74, 55765.000411306894, 0.0008015331805
75, 55775.922254060162, 0.00091360529405
76, 55786.844409741643, 0.00100037423905
77, 55797.77427349702, 0.0008557570218
78, 55808.697822705573, 0.00108503231965
79, 55819.62967172018, 0.0009144796313
80, 55830.554989295237, 0.00097244302015
82, 55852.430023346413, 0.00079385098795
83, 55863.377528317527, 0.00075192008445
84, 55874.325797961959, 0.0068150921106
85, 55885.276986922789, 0.0009071718814
87, 55907.19741334649, 0.0008905790637
88, 55918.160640893911, 0.0010645937473
90, 55940.116764635371, 0.0009432013103
92, 55962.097544551994, 0.00093636797465
93, 55973.098223370769, 0.001506809218
94, 55984.096598963894, 0.0009875576543
96, 56006.112171127374, 0.00112987816465
97, 56017.120637155243, 0.00102952272575
98, 56028.132525898836, 0.000859878146
99, 56039.140101155477, 0.00094690095285
100, 56050.151926408122, 0.0009400419767
101, 56061.152332733865, 0.0011171800979
102, 56072.163523567651, 0.0011140535062
103, 56083.151288316723, 0.000747549042
104, 56094.152842058633, 0.0009176028652
105, 56105.127436325922, 0.00125417217715
106, 56116.118032514656, 0.00099383130145
109, 56148.99450142237, 0.00109085509395
110, 56159.953310920457, 0.0012378421634
111, 56170.881351736381, 0.0008136264005
112, 56181.824549773246, 0.0011859209262
113, 56192.741588728066, 0.00108767295025
114, 56203.670214656828, 0.00104008662675
