epoch,t0s,t0s_err
1,55019.6993,0.0012
2,55053.2959,0.001
3,55086.864,0.0011
4,55120.4409,0.0018
6,55187.688,0.0015
7,55221.336,0.0016
8,55254.9066,0.0011
9,55288.4664,0.0012
11,55355.6667,0.001
12,55389.3438,0.0011
13,55422.9309,0.0017
14,55456.4875,0.0011
15,55490.0601,0.0009
18,55590.9283,0.0008
19,55624.5138,0.0008
20,55658.0838,0.0011
21,55691.6593,0.0008
22,55725.3035,0.0009
23,55758.9147,0.0009
24,55792.5562,0.001
25,55826.1262,0.0011
26,55859.6845,0.0017
27,55893.2891,0.0011
29,55960.5704,0.001
31,56027.709,0.001
32,56061.2821,0.001
33,56094.8799,0.001
35,56162.1511,0.0011
36,56195.7346,0.0014
37,56229.3033,0.0012
38,56262.8845,0.0013
39,56296.5319,0.0012
40,56330.1453,0.001
41,56363.7757,0.001
42,56397.3426,0.001
