toi,tid,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep
4399.01,464646604,2459037.871,7.7121208,2.4343481,728.4849109
4390.01,369345064,2459378.636,4.3954317,1.558,750
4391.01,66620917,2459377.163,5.2910096,4.122,1670
4392.01,429791387,2459379.962,3.9693722,2.005,570
4393.01,107440797,2459386.168,2.2676081,1.671,880
4394.01,341805908,2459388.679,1.488954,1.816,950
4395.01,218483943,2459382.362,3.7589382,2.75,527
4396.01,379723086,2459376.681,7.4398907,2.89,1010
4397.01,107728509,2459385.729,2.6646183,4.135,840
4398.01,214243287,2459379.721,5.7525297,4.641,8800
4388.01,313554509,2459364.3,4.4751215,2.8830849,3015.75751
4389.01,41387532,2459367.619,11.4041935,1.7478969,2216.71914
4379.01,97766057,2459363.369,3.2532293,5.1476018,6232.495474
4380.01,169958952,2459362.802,1.3289805,1.8121498,2266.415973
4381.01,305767364,2459362.926,1.4974223,2.2238426,39324.5082
4382.01,32460142,2459363.824,10.6895417,3.6496675,643.3958437
4383.01,384744828,2459363.499,3.0421334,1.5964685,2054.305028
4384.01,259230140,2459383.028,14.3172763,5.368,1310
4385.01,22186226,2459369.101,9.2169868,7.4821714,2337.569116
4386.01,350575997,2459363.256,2.0131673,1.3394144,980.6717484
4387.01,33350443,2459364.143,3.5620305,6.1441072,4338.426979
4377.01,394918211,2459363.905,4.3774691,8.4412102,1589.382061
4378.01,394721720,2459362.616,1.0690773,1.4512518,3007.530437
4371.01,450649506,2459359.873,1.0604139,2.084,1050
4372.01,401980624,2459388.847,3.2752127,2.473,640
4373.01,315350812,2459352.269,5.9423119,1.906,1190
4374.01,308191940,2459343.367,13.2689495,2.8,770
4375.01,343708863,2459379.131,5.9685742,2.059,340
4376.01,250306572,2459359.389,1.6089592,2.58,320
2322.02,300812741,2459368.95,11.3072061,2.691,220
4369.01,278862750,2459385.396,13.5769267,4.455,180
4370.01,335040423,2459330.971,2.5610662,4.338,170
4365.01,413343957,2459383.537,3.3784254,2.093,1000
4366.01,297361900,2459359.426,2.6374675,1.703,440
4367.01,313675203,2459358.522,2.5110467,2.973,410
4368.01,314724818,2459359.274,4.4518639,1.9,2300
4360.01,52307802,2458328.294,3.0749338,1.3032724,1656.592049
4361.01,334632624,2458520.649,741.4255896,5.2428848,498.0174143
4362.01,238164799,2458470.495,7.5480612,5.1850184,248.5318749
4363.01,325682877,2458412.277,2.118659,1.5585526,664.8120556
4364.01,4070275,2458439.34,5.4240691,1.6875037,1766.85893
4359.01,133505138,2459330.394,2.4360845,2.495,350
2345.02,91555165,2459120.3,42.1289893,4.6130523,961.655867
2392.02,149349867,2459356.297,3.407219,3.92,230
451.02,257605131,2458410.999,1.8586624,2.0525797,497.6683497
451.03,257605131,2458411.806,9.1910792,3.055677,940.8500219
786.02,375059587,2458349.006,38.5540291,6.7205293,362.907764
789.02,300710077,2458334.774,12.9705356,2.3018164,1119.623954
789.03,300710077,2458329.969,8.0432285,2.3883336,692.3276656
4358.01,273418421,2458356.193,390.4585364,5.2893593,626.050026
4354.01,332715376,2458417.574,10.6306165,1.8847446,775.4826057
4355.01,260655847,2458507.586,674.2334716,12.22926,180.6354622
4356.01,149389419,2458538.755,579.6488328,4.5712767,484.9996436
4357.01,300011941,2458327.104,1.8141215,4.6006154,129.4041201
4347.01,32498058,2458449.13,35.3573239,6.8669784,617.495317
4348.01,350299588,2458507.66,602.8417036,8.9377225,221.4941804
4349.01,313889049,2458355.69,749.1605231,4.9894211,1750.980169
4350.01,50379036,2458328.389,4.875907,3.055303,161.5871353
4351.01,358253047,2458362.73,20.1459393,4.7132863,660.8079291
4352.01,237332812,2458333.456,11.8918633,4.78248,362.6899452
4353.01,176797879,2458427.02,718.1809317,2.9233151,973.6269156
4311.02,122617317,2458382.636,0.9902892,1.3567356,278.9096992
4341.01,62301521,2458661.049,18.4043334,7.879331,9135.211016
4342.01,354944123,2458654.532,5.538329,2.2263888,1407.111865
4342.02,354944123,2458659.348,10.6886084,2.6672245,1501.172634
4343.01,278988097,2458411.628,11.542128,2.9573632,466.4021117
4344.01,38939275,2458507.586,731.4808779,14.7095051,244.9088772
4345.01,469791892,2458657.984,12.8910022,4.0905287,15119.39001
4346.01,389371332,2458494.061,3.9077116,9.5278364,599.6319099
4305.02,372068780,2458670.445,374.3644315,3.6392863,310.5114444
4340.01,454038613,2459330.282,2.6680587,2.978,580
4335.01,443658196,2459338.248,4.498955,6.1732636,4079.034468
4336.01,166184428,2459335.573,16.33603,1.9857452,4129.515943
4337.01,399642071,2459335.388,2.2901818,4.5239814,2020.588494
4338.01,253434221,2459350.811,7.4997774,1.278,2050
4339.01,7439481,2459333.969,1.2540806,1.3435517,66025.09943
4330.01,47617038,2459358.397,3.3513304,2.739,400
4331.01,148833828,2459360.395,2.9034242,2.154,860
4332.01,178959058,2459353.755,5.4468433,3.5,540
4333.01,144645881,2459356.714,8.8998556,1.13,1220
4334.01,128531633,2459358.588,8.2197647,1.673,1040
4328.01,77175217,2458459.446,703.79367,2.9297301,601.9566843
4322.01,13883872,2458417.283,13.4190972,5.209244,348.2384065
4323.01,143022742,2458416.548,14.6762658,3.2320455,3499.937973
4323.02,143022742,2458412.896,21.9692578,3.5662307,7940.615239
4324.01,408416746,2458518.995,6.250999,1.1932357,799.7601398
4325.01,202185707,2458469.369,1.6500673,0.9198679,2709.534958
4326.01,303586471,2458363.762,,3.6367964,420.1292122
4327.01,140687214,2458411.377,0.8303301,0.8685829,554.0353457
4320.01,404518509,2458431.269,703.6156148,5.1339345,643.185497
4320.02,404518509,2458417.466,46.4093732,4.822337,435.7347505
4321.01,325081244,2458679.443,,5.7408858,177.9248977
4329.01,256722647,2459007.632,2.92247,5.039,4180
4319.01,157115010,2459231.758,,7.7272055,6743.445526
1225.02,150428703,2458414.546,8.121321,3.0540074,638.4695619
2404.02,142087638,2458558.987,74.605824,4.9550451,2243.052933
2404.03,142087638,2458512.162,746.0664156,4.06112,2205.299042
2441.02,219175972,2458325.909,5.5514857,2.0186927,1282.32279
406.02,153065527,2458385.388,6.614911,0.9654605,1060.571582
4299.01,67535663,2459329.652,6.6019866,5.754,600
4300.01,266843799,2459331.491,0.8062768,1.963,660
4301.01,307079330,2459321.853,6.5446289,2.306,710
4302.01,182078202,2458347.765,38.7617056,4.6125854,748.329209
4303.01,200296137,2458438.485,8.6110844,2.0181798,542.6102038
4304.01,366443426,2458507.03,15.5727409,4.7425157,410.2042168
4305.01,372068780,2458679.491,183.0019106,2.5483505,396.3670005
4306.01,44898913,2458413.192,2.7299049,0.8257288,7427.724966
4307.01,141186075,2458349.747,32.6972912,4.8615665,101.3420352
4307.02,141186075,2458328.01,4.654469,2.7229465,27.4724559
4308.01,144193715,2458333.435,9.1511255,2.5336897,774.5148555
4309.01,56662591,2458564.61,87.22287,2.0379853,664.2309911
4310.01,303317324,2458365.182,739.1670007,5.7183604,1376.139505
4311.01,122617317,2458394.739,15.0700779,3.8675641,852.6165721
4312.01,251086776,2458434.865,80.6797247,2.2543368,1707.692781
4313.01,294324819,2458498.263,6.8229619,6.5008474,231.0142118
4314.01,459952217,2458448.206,73.580982,2.1441598,347.4450365
4315.01,139148528,2458326.329,8.2860468,3.4753488,540.5097415
4316.01,7020254,2458495.174,20.2730449,3.5347163,16608.97834
4317.01,422914082,2458431.554,238.8542072,4.121586,1942.542355
4318.01,311130133,2458438.115,1.1343824,1.4445,313.8458861
560.02,101011575,2458533.62,18.8797437,3.6258286,1466.22722
699.03,149302744,2458374.192,672.6631808,7.0488983,464.8386081
4297.01,28116365,2458391.647,16.5272651,3.5945709,1074.429751
4298.01,146282666,2458398.396,722.2619756,7.7126298,480.796335
4296.01,72668830,2458399.49,19.9706574,1.8801996,1037.379906
4291.01,257520272,2459043.199,12.1525744,5.033,5140
4292.01,255918903,2458679.77,1.7203479,2.607,7490
4293.01,101696403,2459059.497,1.6242109,2.273,17740
4294.01,30499203,2458677.764,2.4330551,1.882,15280
4295.01,325527653,2459038.494,11.3927251,4.397,7770
4284.01,280726137,2459056.257,3.5008785,4.719,5110
4285.01,310105752,2458682.138,1.170544,1.377,4890
4286.01,294097592,2458682.236,1.0268508,2.172,1430
4287.01,290407621,2458679.062,4.2340008,2.658,5590
4288.01,278821913,2459298.722,6.0597024,1.207,7750
4289.01,278540265,2459058.297,2.9757432,4.473,6980
4290.01,278196907,2459252.187,1.1771655,1.037,1110
4277.01,466682238,2459055.669,3.2738129,3.306,13200
4278.01,466222485,2459058.679,1.7519943,1.624,4360
4279.01,407146536,2459362.85,2.0977443,3.3908262,2519.663151
4280.01,387193925,2459055.691,3.518972,3.21,13820
4281.01,384386061,2458672.127,5.7612135,3.451,7700
4282.01,374348168,2459045.476,13.5098037,2.695,24500
4283.01,343952976,2458680.566,3.0130918,2.343,14150
4276.01,469811655,2459043.954,11.851162,3.376,4580
4274.01,290388627,2458623.26,0.4459623,1.359,11500
4275.01,363635669,2459305.084,0.761774,1.275,2360
4271.01,146842334,2459302.59,4.5016828,4.849,4800
4272.01,146664561,2459305.56,2.7302636,2.645,9410
4273.01,133331642,2459302.624,2.9346956,3.447,11160
4265.01,118308828,2459301.933,3.7353995,1.836,2360
4266.01,442050698,2459304.549,0.8118599,1.011,6360
4267.01,80783538,2459304.29,1.2125518,1.345,5570
4268.01,341272282,2459304.023,0.8133123,1.079,310
4269.01,178657161,2459305.026,4.5766216,4.957,3630
4270.01,151920165,2459303.974,3.4671474,2.405,4770
4262.01,53365065,2459276.291,5.9977892,4.322,7750
4263.01,48276576,2458566.82,0.8338716,1.62,4020
4264.01,45996325,2459304.328,3.1582574,2.202,6520
4255.01,82302240,2459275.73,2.5057108,1.962,3170
4256.01,77102895,2459303.475,1.0962372,2.336,2460
4257.01,75208638,2459302.335,4.6512523,2.251,3110
4258.01,74484886,2459298.033,3.8505662,2.499,6070
4259.01,268643535,2459300.285,8.9617618,1.536,10710
4260.01,74967390,2459297.736,5.4588359,4.555,3290
4261.01,74197917,2458567.169,1.5040804,2.955,6130
4248.01,190986054,2458561.898,5.1442317,5.856,4310
4249.01,269568703,2458562.122,6.773653,3.078,6620
4250.01,269249506,2459272.138,4.0185922,4.47,6230
4251.01,192520375,2459278.486,0.9109508,1.473,4720
4252.01,145038729,2459301.061,2.6085023,1.473,10330
4253.01,145249556,2459299.819,3.4192373,2.747,17620
4254.01,92744152,2459305.481,1.1462769,2.394,3620
4241.01,4102368,2458562.364,3.1124985,2.761,16660
4242.01,445582110,2459299.527,3.0579913,2.905,7420
4243.01,400683848,2459303.955,1.08833,2.417,540
4244.01,393340920,2459303.352,1.8665254,3.109,3606
4245.01,52928939,2459276.459,3.1530578,1.727,3900
4246.01,291465998,2459270.584,12.8860009,4.866,11770
4247.01,286153328,2458563.643,4.3537052,3.237,32400
4236.01,36227841,2459304.833,0.4021282,0.804,2430
4237.01,30825828,2459275.547,3.0482015,2.433,7620
4238.01,24615998,2459277.637,1.2732245,1.634,23100
4239.01,22121296,2459277.477,2.8132443,3.717,5310
4240.01,19547831,2459267.532,10.1238604,2.239,7090
4230.01,128127712,2458515.69,1.9409946,1.868,3200
4231.01,127895118,2458511.552,3.2970252,2.279,6550
4232.01,126357909,2458513.958,1.2247985,1.645,7640
4233.01,113295476,2458514.824,1.820443,2.643,7330
4234.01,81055189,2458515.925,0.908232,2.28,5020
4235.01,157528286,2459251.04,1.6562803,0.929,5610
4223.01,157088184,2459244.781,7.2654708,3.568,13930
4224.01,148667071,2459251.83,1.161347,2.471,4320
4225.01,141405814,2459250.334,1.1355486,2.63,390
4226.01,127328218,2459252.247,2.9628955,1.909,4610
4227.01,99081059,2459250.44,3.4169475,2.454,6880
4228.01,415143674,2458509.183,6.0154139,5.144,9180
4229.01,319282294,2458514.968,1.1385671,1.897,6220
4216.01,187861378,2459251.532,2.1816809,3.83,1280
4217.01,108939482,2458515.488,1.1866441,2.625,7480
4218.01,142628514,2458514.634,2.6269521,3.503,12010
4219.01,114103136,2458515.145,1.1471548,1.403,2670
4220.01,346995484,2459251.119,1.9138779,2.352,18720
4221.01,334252687,2459249.304,2.8395663,2.1,9860
4222.01,318054782,2459226.923,0.8335712,1.509,3340
4210.01,409315469,2459251.256,1.0754208,1.01,4950
4211.01,385654601,2459250.469,2.2715616,2.741,8190
4212.01,126864892,2459252.979,2.3485025,1.804,3070
4213.01,32408928,2459252.322,1.0435229,1.476,4970
4214.01,409594381,2459248.541,3.491383,2.999,4650
4215.01,7274938,2459251.094,1.0994412,1.394,3860
4204.01,158697949,2458484.978,3.9592516,3.269,3160
4205.01,280645209,2459217.815,5.9056572,4.314,10720
4206.01,281242007,2458489.048,2.4170503,3.246,7730
4207.01,37242226,2458488.38,1.0681394,2.082,7290
4208.01,280304556,2458489.276,1.72328,3.005,14180
4209.01,200090347,2458489.687,0.8631737,1.227,6330
4199.01,220144363,2458487.707,4.4466179,4.511,7930
4200.01,53593542,2458489.557,1.027641,1.977,12630
4201.01,95057860,2458485.286,3.5809733,2.18,36850
4202.01,237603062,2458485.594,2.6689906,2.854,14140
4203.01,72494421,2458488.94,2.9531039,2.501,16770
4197.01,332579116,2458456.806,3.9017499,1.845,27430
4198.01,459913687,2458458.494,4.746318,3.117,12470
4192.01,41995709,2458403.422,4.2300182,1.847,3470
4193.01,382419744,2458397.745,6.5081212,5.472,8260
4194.01,299176311,2458404.823,1.0432995,1.169,3260
4195.01,67598139,2458399.819,5.4447698,1.366,5420
4196.01,67566164,2458404.327,3.125924,2.985,18690
4186.01,300579472,2458332.283,12.7612027,3.6568621,678.5926285
4187.01,176780257,2458425.239,30.8812601,10.7723374,425.1596999
4188.01,424747720,2458655.604,10.2813284,2.4414916,37333.96317
4189.01,7422496,2458470.362,46.9621053,5.7665722,757.7887314
4190.01,65416038,2458388.816,15.6062307,3.6444849,659.0717891
4191.01,167905035,2458548.669,742.8561164,5.6483285,415.3404179
4182.01,31637479,2458346.888,27.8483156,4.1124146,350.4957359
4183.01,421951960,2458332.496,11.7915574,1.6063345,661.9685157
4184.01,394357918,2458326.79,4.9019896,1.2792214,10902.01549
4185.01,152563846,2458576.461,16.5414025,3.4245155,1106.353478
663.03,54962195,2458547.111,7.1027467,2.149938,1430.817092
696.03,77156829,2458414.563,4.9652069,0.9361524,633.0580849
1208.02,273985865,2458331.12,10.9829853,3.6811276,725.3212424
709.02,396720998,2458399.221,777.0516742,4.3877266,7211.926489
711.02,38510224,2458342.543,35.9432187,2.8503375,1053.904682
712.04,150151262,2458470.864,678.7158085,5.5586071,1556.940324
797.03,271596225,2458327.463,2.7309729,1.1954545,388.7394324
872.02,220459826,2458415.298,4.9727684,0.6855227,1007.567074
4010.03,352682207,2459007.533,1.3479994,1.213,1180
213.02,234345288,2458328.445,7.7565313,2.4229146,316.239302
4180.01,126737992,2458518.177,1.5954319,1,473.6397437
4181.01,426017070,2458354.576,0.5992462,2.2160462,23336.73891
